lambda1,lambda2,num_tasks,objective_value,objective_value_ci95,task_cost,task_cost_ci95,expected_completion_rate,expected_completion_rate_ci95,runtime_seconds,runtime_seconds_ci95
0.25,0.75,10,23.750782536581823,2.851810683217838,6.876997284465435,0.38113254016204773,0.3396004247693091,0.03820523488248049,0.2655999803543091,0.02880712476101275
0.25,0.75,20,22.647738486949542,2.4337810870925773,12.55971482617158,0.43875002392163986,0.3438355625798991,0.03257584955247215,0.954145143032074,0.22129535049905252
0.25,0.75,30,21.45236303955805,2.0909669212374213,17.67223211733161,0.6044306021189046,0.34493894758521265,0.02817794221605253,2.4700006532669065,0.8037782246292153
0.25,0.75,40,19.47089627078352,1.9069194532497906,21.7843457963693,0.998489824937441,0.33222643626501125,0.026710497205617013,11.670453674793244,6.08984092084711
0.25,0.75,50,17.170436613786595,1.748952924067518,23.93118632785576,1.3626018082251794,0.3087097759433405,0.025667763355299848,12.075198197364807,5.7700032523587605
0.5,0.5,10,14.138853281568597,1.867484217634442,6.252924038194092,0.2718779619814873,0.3453063060133128,0.03755877977888815,0.2239495825767517,0.020725179199166163
0.5,0.5,20,11.60323486126118,1.5674140691095666,11.54473266904414,0.2921131372594913,0.3475120239156651,0.031269358719613685,0.7161741781234742,0.1598936693849269
0.5,0.5,30,9.100588218621526,1.352858671865024,16.466787549593484,0.5177405992747051,0.3466796398683653,0.02728994589603286,1.5158943390846253,0.545842256160588
0.5,0.5,40,6.426342659807387,1.1785940770609993,20.429328810684236,0.871401185168508,0.3328201413029902,0.026139635232134917,2.854300377368927,1.1180277068796276
0.5,0.5,50,4.020763760646993,1.0198002709360057,22.76813239027378,1.2887880480601581,0.3080965991156777,0.025350578822866177,3.2855403327941897,0.9626643703868891
0.75,0.25,10,4.327633833996152,0.8872851294657499,5.688497241313531,0.18368123842741285,0.343760270599252,0.0348414691210952,0.17881330490112304,0.017092647715918695
0.75,0.25,20,0.6632731760658982,0.747822311413757,10.93592785590367,0.2625057396680598,0.354608762719746,0.028037717500406928,0.36101903676986696,0.06926893660189246
0.75,0.25,30,-2.9235750964128617,0.6776658585510138,15.40756016538449,0.47055434660200507,0.34528380110502027,0.025169232438060667,0.6020623421669007,0.15763555401372492
0.75,0.25,40,-6.008314780359381,0.5943522654589233,18.943925174963457,0.7606598773465789,0.3279851640345284,0.025029074244897143,0.8600632619857788,0.186842523364111
0.75,0.25,50,-8.235862977095758,0.6404604019960313,20.95483196112668,1.0999479063703945,0.2992104397499699,0.0242149551617954,1.3953505635261536,0.2624854370402153
