algorithm,config_key,lambda1,lambda2,num_tasks,objective_value,task_cost,expected_completion_rate,runtime_seconds
RTM-RPF,completion_focused,0.25,0.75,50,15.157002658317538,28.24840660689167,0.29625472413387277,0.010698320865631104
SPTM,completion_focused,0.25,0.75,50,8.45475862450079,34.516774102395,0.22778602866799388,0.00459416151046753
CPLEX,cost_focused,0.75,0.25,10,4.327633833996152,5.688497241313531,0.343760270599252,0.17881330490112304
LBTM,cost_focused,0.75,0.25,10,-2.364595491959658,14.252379788251176,0.33298757396914896,0.001448049545288086
RTM-RPF,cost_focused,0.75,0.25,10,4.820851817538621,7.633787632333614,0.4218477016715533,0.002940640449523926
SPTM,cost_focused,0.75,0.25,10,1.2538715511397465,10.046087342377195,0.35153748231690574,0.0014892411231994629
CPLEX,cost_focused,0.75,0.25,20,0.6632731760658982,10.93592785590367,0.354608762719746,0.36101903676986696
LBTM,cost_focused,0.75,0.25,20,-11.10602523641756,23.499967287078704,0.26075800915565883,0.0022445130348205567
RTM-RPF,cost_focused,0.75,0.25,20,-1.2344544757480338,15.02818885695692,0.4014674866787862,0.005177781581878662
SPTM,cost_focused,0.75,0.25,20,-6.335685338533851,19.625988899077765,0.3353522534309789,0.002455751895904541
CPLEX,cost_focused,0.75,0.25,30,-2.9235750964128617,15.40756016538449,0.34528380110502027,0.6020623421669007
LBTM,cost_focused,0.75,0.25,30,-15.202154747551,26.814476466125484,0.19634810408172435,0.0023825263977050783
RTM-RPF,cost_focused,0.75,0.25,30,-6.618672385353267,21.157943154634484,0.36999139922490387,0.007259647846221923
SPTM,cost_focused,0.75,0.25,30,-11.907285217851122,25.989326273331987,0.3033883794859146,0.0033959507942199706
CPLEX,cost_focused,0.75,0.25,40,-6.008314780359381,18.943925174963457,0.3279851640345284,0.8600632619857788
LBTM,cost_focused,0.75,0.25,40,-17.226972176985313,28.05432710936519,0.15255092620154304,0.0028175234794616697
RTM-RPF,cost_focused,0.75,0.25,40,-10.843734756155891,25.57497462670819,0.33349984855501036,0.009078431129455566
SPTM,cost_focused,0.75,0.25,40,-17.129701188272534,31.63945569203744,0.263995623230222,0.004077551364898682
CPLEX,cost_focused,0.75,0.25,50,-8.235862977095758,20.95483196112668,0.2992104397499699,1.3953505635261536
LBTM,cost_focused,0.75,0.25,50,-17.43454499651305,27.32398936700482,0.12233788114962246,0.0026147294044494627
RTM-RPF,cost_focused,0.75,0.25,50,-13.779936851821937,28.24840660689167,0.29625472413387277,0.009984266757965089
SPTM,cost_focused,0.75,0.25,50,-20.1929298600964,34.516774102395,0.22778602866799388,0.004535160064697266
