lambda1,lambda2,num_tasks,objective_value,objective_value_ci95,task_cost,task_cost_ci95,expected_completion_rate,expected_completion_rate_ci95,runtime_seconds,runtime_seconds_ci95
0.25,0.75,10,29.7301307172831,0.6189922043144152,7.633787632333614,0.3190956412138545,0.4218477016715533,0.008164204732675885,0.0031005859375,0.00036956711035071084
0.25,0.75,20,26.353014286669737,0.9561030908470525,15.02818885695692,0.7465847884844417,0.4014674866787862,0.014237684980200654,0.005132842063903809,0.0005941249635964979
0.25,0.75,30,22.45986915320917,1.239970657649764,21.157943154634484,1.2865839841251145,0.36999139922490387,0.02010285172743439,0.007467751502990723,0.0006597257814043219
0.25,0.75,40,18.618744984948727,1.3077497901853885,25.57497462670819,1.9032790886385278,0.33349984855501036,0.02302587025602569,0.009070124626159668,0.0010725619952836254
0.25,0.75,50,15.157002658317538,1.2303163962066055,28.24840660689167,2.4471682594153346,0.29625472413387277,0.02389475675165303,0.010698320865631104,0.001255316566101812
0.5,0.5,10,17.27549126741086,0.44109818497820674,7.633787632333614,0.3190956412138545,0.4218477016715533,0.008164204732675885,0.0030080699920654297,0.00020400061247051907
0.5,0.5,20,12.559279905460851,0.5460622066443395,15.02818885695692,0.7465847884844417,0.4014674866787862,0.014237684980200654,0.005382320880889893,0.0004220578760071105
0.5,0.5,30,7.920598383927951,0.5525360886569625,21.157943154634484,1.2865839841251145,0.36999139922490387,0.02010285172743439,0.007317988872528076,0.0006502167482852388
0.5,0.5,40,3.88750511439642,0.48277433784123697,25.57497462670819,1.9032790886385278,0.33349984855501036,0.02302587025602569,0.00911252737045288,0.0009299078984337662
0.5,0.5,50,0.6885329032478008,0.40192826090159867,28.24840660689167,2.4471682594153346,0.29625472413387277,0.02389475675165303,0.010316760540008544,0.0011518622602391154
0.75,0.25,10,4.820851817538621,0.31747624877716824,7.633787632333614,0.3190956412138545,0.4218477016715533,0.008164204732675885,0.002940640449523926,0.00020382346772367848
0.75,0.25,20,-1.2344544757480338,0.42340190782318066,15.02818885695692,0.7465847884844417,0.4014674866787862,0.014237684980200654,0.005177781581878662,0.0003982101775897957
0.75,0.25,30,-6.618672385353267,0.586986514376571,21.157943154634484,1.2865839841251145,0.36999139922490387,0.02010285172743439,0.007259647846221923,0.0006306336904780504
0.75,0.25,40,-10.843734756155891,0.9330014218197297,25.57497462670819,1.9032790886385278,0.33349984855501036,0.02302587025602569,0.009078431129455566,0.0009165046767312939
0.75,0.25,50,-13.779936851821937,1.2857673501129223,28.24840660689167,2.4471682594153346,0.29625472413387277,0.02389475675165303,0.009984266757965089,0.0011033086631192998
