variable_value,objective_value,objective_value_ci95,task_cost,task_cost_ci95,expected_completion_rate,expected_completion_rate_ci95,runtime_seconds,runtime_seconds_ci95
0.05,6.272111629971988,1.304624118593534,11.905716995138262,2.8706201834307272,0.14062609612162094,0.029831667231055115,0.002021682262420654,0.00040369406354903947
0.1,6.260160203842637,1.3018245239280022,11.923276683025005,2.8742389697888093,0.14053061726785912,0.029806259399708098,0.0024529099464416504,0.000982137113711826
0.15,6.248208216917924,1.2990270035008662,11.940836370911748,2.8778596736216038,0.14043513040273498,0.029780857095168974,0.003709447383880615,0.002311326272422493
0.2,6.236255693018,1.2962315821486672,11.958396058798494,2.8814822877009463,0.14033963586653644,0.029755460466449665,0.0016955494880676269,0.0005482101202002698
0.25,6.224302656012754,1.293438284812618,11.975955746685234,2.8851068048311737,0.1402441340002618,0.029730069662575558,0.00230025053024292,0.0005520133298656425
