experiment_type,variable_name,variable_value,algorithm,objective_value,objective_value_ci95,task_cost,task_cost_ci95,expected_completion_rate,expected_completion_rate_ci95,runtime_seconds,runtime_seconds_ci95
task_count,num_tasks,10,CPLEX,29.313634170661047,0.7984723774722171,13.237359770650864,0.8952870488268332,0.47549774431223296,0.01268824797296494,0.19257778644561768,0.024537206046661184
task_count,num_tasks,10,LBTM,19.085106572758868,0.8331133503976851,14.74264613235863,1.3621791029159733,0.3358271487495208,0.014576297026072776,0.00188765287399292,0.00016167201715330354
task_count,num_tasks,10,RTM-RPF,27.103172991151922,0.5738926076898182,7.731471782860574,0.3036376248044581,0.42032306465728697,0.008201549718374284,0.003684542179107666,0.0003719709370023998
task_count,num_tasks,10,SPTM,21.697743355895863,0.8853290619283136,9.819149632796382,0.7280843893243665,0.3520498320819253,0.013472263484721992,0.0017944240570068359,0.00016867114012956486
task_count,num_tasks,20,CPLEX,24.677855370381575,1.0025954347975152,21.268964709291932,1.1025522410568467,0.44369349690241655,0.017347682213486957,0.3766331243515015,0.08797663130300874
task_count,num_tasks,20,LBTM,11.575115482923932,0.8746145714026875,22.83541874637162,2.357437866092351,0.2632248729547917,0.02010683181923504,0.0022334170341491697,0.00036098327586412716
task_count,num_tasks,20,RTM-RPF,23.51654711370211,0.874837586853,14.968530913456734,0.7368445286336227,0.4001015198248447,0.01433136226787352,0.006006278991699219,0.000668101139400086
task_count,num_tasks,20,SPTM,17.679888441762763,0.8772695742706869,19.184176199102225,1.3215458032700997,0.3347877328784775,0.015030132154921261,0.002631371021270752,0.00023356082482187254
task_count,num_tasks,30,CPLEX,20.03683322303303,1.234967011327402,27.04764727390415,1.3672545594729633,0.40215896293148956,0.021846452425741476,0.6897748923301696,0.2541737441679663
task_count,num_tasks,30,LBTM,5.90086018880083,0.600713977451494,26.192821547647295,2.963265063227708,0.19655295218707178,0.01756862648876663,0.002518932819366455,0.000252261333399283
task_count,num_tasks,30,RTM-RPF,19.520352939765203,1.1173345462855502,20.95849061585172,1.2132732552278873,0.3686842874931532,0.020161687196531858,0.007727963924407959,0.0007202956683354036
task_count,num_tasks,30,SPTM,13.108230333664075,0.8902227261686668,26.260416865205865,2.0010817551574673,0.29980507704608345,0.018390846119050473,0.003694469928741455,0.000388034736456657
task_count,num_tasks,40,CPLEX,16.255307263553917,1.2159822411350443,30.499178895199652,1.8792620722631521,0.36292944188734017,0.023570241892836033,1.0058172369003295,0.34531591444086096
task_count,num_tasks,40,LBTM,2.3191127640975573,0.4504486260368141,27.917747130192815,3.31907900577882,0.1527776700450772,0.014797075554138037,0.0027039551734924314,0.0002694074887529324
task_count,num_tasks,40,RTM-RPF,15.651613977213842,1.1277665370393093,25.571137462086572,1.9297192352481478,0.33318507451199736,0.02313394181132685,0.009639124870300293,0.0009866851368892202
task_count,num_tasks,40,SPTM,9.104649899997044,0.8058139972013931,31.066819064117,2.6294143139207753,0.26320993741760207,0.020333728241288766,0.004377851486206055,0.00043250850735308805
task_count,num_tasks,50,CPLEX,13.257862649227212,1.1384007672169143,31.785782437737183,2.2820251114175565,0.3256228197221195,0.02392899794426448,1.6631961369514465,0.5924273498191279
task_count,num_tasks,50,LBTM,0.3585557361309307,0.40675254057529975,27.35304803955358,3.185674878874708,0.12234957354281438,0.012100741515184938,0.002908589839935303,0.00026044475702197823
task_count,num_tasks,50,RTM-RPF,12.31336928167668,1.0114825589135679,28.03130068213951,2.4115543897747354,0.29603942123312194,0.02381306752345845,0.010852391719818116,0.0012756814500969227
task_count,num_tasks,50,SPTM,5.502157625615715,0.6550997141940725,34.660378436863255,3.2976673260201617,0.2271467308096385,0.019673885045293594,0.004615101814270019,0.00043756387726523823
agent_count,num_agents,15,CPLEX,11.584183761266642,1.1156898451728468,18.911080790886903,1.9022807854031605,0.24653582855046735,0.021422116438574886,0.4104578495025635,0.067730350609122
agent_count,num_agents,15,LBTM,1.9788098006216222,0.314209364326079,13.000896524135731,2.070985663119499,0.08398683939803345,0.009637515047162318,0.0016260719299316406,0.00016360951140134743
agent_count,num_agents,15,RTM-RPF,9.822234082056786,0.9950125766205101,16.340194359469095,1.9845129763192975,0.21034703414139308,0.021653712096487764,0.004678490161895752,0.0006234123877799173
agent_count,num_agents,15,SPTM,5.724154903504229,0.6349593175522522,18.222350312018264,2.5256349126543705,0.15986942853013872,0.017147249029609794,0.0023901200294494628,0.0002618080300397709
agent_count,num_agents,20,CPLEX,13.295138237420128,1.2740619051417994,25.5484652689578,2.1137358790421095,0.29942396883010663,0.024673186607837017,0.7329067492485046,0.3490472793781716
agent_count,num_agents,20,LBTM,2.082965799230713,0.4443850047847294,20.203672213673244,2.9674218335479674,0.1163438209047527,0.013691605523546152,0.002141764163970947,0.00024130541178074566
agent_count,num_agents,20,RTM-RPF,12.41294851015517,1.1516965598774314,21.636357496511874,2.190468451395149,0.2700550822729819,0.024554649413362245,0.007025556564331055,0.0008815581499741045
agent_count,num_agents,20,SPTM,6.971397000235446,0.8132121611429763,25.970427012651932,3.0088203013220673,0.2108932157718718,0.02084106041035317,0.0034058618545532225,0.000349893620351178
agent_count,num_agents,25,CPLEX,16.255307263553917,1.2159822411350443,30.499178895199652,1.8792620722631521,0.36292944188734017,0.023570241892836033,0.9955214190483094,0.34087601030515025
agent_count,num_agents,25,LBTM,2.3191127640975573,0.4504486260368141,27.917747130192815,3.31907900577882,0.1527776700450772,0.014797075554138037,0.0027501821517944337,0.0002653219950274605
