variable_value,objective_value,task_cost,expected_completion_rate,runtime_seconds
15,13.891412789831154,16.285255804510502,0.2682427075883472,9.505150454044342
20,16.1932355538333,19.327386350801504,0.31416359227248225,9.212301025390625
25,19.370073192811702,21.54175423049235,0.3690371351708487,14.660464334487916
30,21.59338376989323,23.295159500547513,0.408313308857964,18.279798505306243
35,23.090408127632838,23.52946058288719,0.4307035186071285,31.386463904380797
